Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
ESSF.PA,16583749971.975,25.558818913526,,,,,328547831.311795,,,,,,,,,58628343.3849741,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011,,,,France,,,FY-3
HES.N,6495000000.0,66.81,-0.10974,0.12607,1.78821,-3.06,20357423560.35,,,,,,,,,7397000000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,22.020485,,United States of America,,,FY-3
ENGEPEC1.LM,498005738.447599,0.691756876170341,,,,17.51,1971950562.36786,,,,,,,,,33412564.180006,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,29.35811,,Peru,,,FY-3
LUSURC1.LM,986812443.370583,6.22493986680761,0.413764362683813,0.434601416919688,,,3787072728.2543,,,,,,,,,664231350.045304,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,29.86401,,Peru,,,FY-3
GEPH.PA,1356600000.0,3.24529740152008,0.1739,0.26016,0.28337,,2304007736.88989,,,,,,,,,1314100000.0,85.4,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related - Surveying & Mapping Services,50,5010,501030,50103020,5010302013,,9.69146041708,,France,,,FY-3
RUBF.PA,5861138264.24232,61.3747954173486,3.90763206301559,4.08302393553993,4.33426183844011,13.22,6142578314.23895,,,,,,,,,1880647041.67881,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Product Wholesale,50,5010,501020,50102030,5010203013,,,,France,,,FY-3
AEP.OQ,15286500000.0,94.51,4.38952,4.67736,4.97285,10.82,46703956704.21,,,,,,,,,29870600000.0,6.16667,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,4.12376,,United States of America,,,FY-3
MAUP.PA,503628000.0,3.16122233930453,0.298090414803122,0.679645707270017,,3.35,634500069.546891,,,,,,,,,701555000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,25.32436,,France,,,FY-3
PSWW.PK,,2.0445,,,,,24205115.5965,,,,,,,,,,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,,,United States of America,,,FY-3
AECFF.PK,29722975.7501028,1e-06,,,,,,,,,,,,,,25663789.5602137,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,,,Canada,,,FY-3
IEP.OQ,8455000000.0,61.5,,,,,12760577559.0,,,,,,,,,8192000000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011,,22.020485,,United States of America,,,FY-3
HAL.N,22408000000.0,24.47,1.28773,1.53792,1.61389,12.36,21479873594.59,,,,,,,,,10459000000.0,0.30325,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,19.324669862231,,United States of America,,,FY-3
TTEF.PA,176249000000.0,55.1532408133982,5.10746,5.36694,5.81712,10.179,143502173497.298,,,,,,,,,60898000000.0,4.42867,,Energy,Energy - Fossil Fuels,Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,50,5010,501020,50102010,5010201010,,36.237316806664,,France,,,FY-3
VLLP.PA,4677989148.71197,43.5389368428133,-2.45725693320384,0.754672745737808,-1.8329124851624,-20.679,1443693900.76901,,,,,,,,,4287135394.48019,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services and Equipment (NEC),50,5010,501030,50103020,5010302010,,25.32436,,France,,,FY-3
025000.KS,663488472.926252,48.0565615357356,8.48273486609834,7.84982347369327,,9.043,232593757.83296,,,,,,,,,8130187.32832497,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,23.29273,,Korea; Republic (S. Korea),,,FY-3
HE.N,2873948000.0,46.86,2.02163,2.20805,2.335,9.73,5106454349.04,,,,,,,,,2265185000.0,3.3,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,,20.10783,,United States of America,,,FY-3
HWKN.OQ,540198000.0,22.905,1.4545,,,,488574048.87,,,,,,,,,59658000.0,,,Basic Materials,Chemicals,Chemicals,Diversified Chemicals,Diversified Chemicals,51,5110,511010,51101090,5110109010,,27.13093,,United States of America,,,FY-3
600759.SS,399843800.453906,0.397885604297739,0.013004840690702,0.018784769886569,0.024564699082436,-4.22,900617056.631905,,,,,,,,,762959702.950387,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,12.91442,,China,,,FY-3
600724.SS,451693151.19653,0.541526616679594,,,,,782636507.465023,,,,,,,,,100879888.821856,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Product Wholesale,50,5010,501020,50102030,5010203013,,20.5574,,China,,,FY-3
HP.N,1773927000.0,44.397317479,-2.69092,-1.81908,-1.89599,-2.34,4926728674.56,,,,,,,,,480727000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Drilling,Oil & Gas Drilling (NEC),50,5010,501030,50103010,5010301010,,22.020485,,United States of America,,,FY-3
NIIN.PSX,128745022.547847,0.36895213454075,,,,,40829027.4682201,,,,,,,,,35153223.8636364,,,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,,31.26296,,Pakistan,,,FY-3
HME.V,24265424.3030956,0.158320044663484,,,,,14376623.6100415,,,,,,,,,25514146.0033883,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,8.165738161174,,Canada,,,FY-3
DINO.N,17486578000.0,50.71,4.79439,4.22417,4.72674,13.81,8184072751.91,,,,,,,,,2462370000.0,-5.6715,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011,,23.012475,,United States of America,,,FY-3
BP.L,159307000000.0,6.25298329355609,0.53479,0.57967,0.64305,10.18,127390545119.331,,,,,,,,,77446000000.0,3.19567,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing (NEC),50,5010,501020,50102030,5010203010,,21.21936,,United Kingdom,,,FY-3
USWF.PK,,0.0001,,,,,631.1083,,,,,,,,,,,,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011,,,,United States of America,,,FY-3
CWV.V,32718670.0,0.459277403551745,,,,,33683830.8948097,,,,,,,,,950380.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,23.74702,,Canada,,,FY-3
CNE.L,533400000.0,2.79859317859984,0.01953,0.05889,0.39579,3.81,1602469900.88835,,,,,,,,,282900000.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,21.21936,,United Kingdom,,,FY-3
