Instrument,Segment Name,Segment Code,year,number of segments
LNT.OQ,Other Utility,"221330, 221310",-4,4
LNT.OQ,Gas Utility,221210,-4,4
LNT.OQ,Electric Utility,"221122, 221112",-4,4
LNT.OQ,Non-Utility and Other,"541330, 525990",-4,4
WSO.N,,,-4,0
WERN.OQ,Corporate,,-4,5
WERN.OQ,Other,,-4,5
WERN.OQ,Truckload Transportation Services,"541614, 488510, 484121",-4,5
WERN.OQ,Inter segment eliminations,,-4,5
WERN.OQ,Werner Logistics,"541614, 488510, 484121",-4,5
WMB.N,Other,,-4,5
WMB.N,Eliminations,,-4,5
WMB.N,West,"211130, 486210",-4,5
WMB.N,Northeast G&P,"211120, 486210, 324110",-4,5
WMB.N,Transmission & Gulf of Mexico,"211130, 211120, 486210",-4,5
WEC.N,Eliminations & Reconciling,,-4,7
WEC.N,Corporate & Other,,-4,7
WEC.N,Electric Transmission,221121,-4,7
WEC.N,IIinois,221210,-4,7
WEC.N,Others states,221210,-4,7
WEC.N,Wisconsin,"221210, 221122",-4,7
WEC.N,Non-Utility Energy Infrastructure,"221122, 221112",-4,7
WOR.N,Steel Processing,"331110, 332420, 331221, 331210",-4,4
WOR.N,Pressure Cylinders,332420,-4,4
WOR.N,Engineered Cabs,336211,-4,4
WOR.N,Other,,-4,4
FM.TO,Corporate & Other,,-4,8
FM.TO,Guelb Moghrein/Carlisa (CAR),"212230, 212220",-4,8
FM.TO,Kansanshi Copper/Gold Project (KCP),"212230, 212220",-4,8
FM.TO,Ravensthorpe,212230,-4,8
FM.TO,Sentinel,212230,-4,8
FM.TO,las cruces,212230,-4,8
FM.TO,pyhsalmi,212230,-4,8
FM.TO,cayeli,212230,-4,8
CUPRUM.SN,,,-4,0
ARCB.OQ,Other/Eliminations,,-4,4
ARCB.OQ,ArcBest,"541614, 483111",-4,4
ARCB.OQ,FleetNet,"811198, 541614",-4,4
ARCB.OQ,Asset-Based,"541614, 484122, 484110, 482111",-4,4
CMPC.SN,Eliminations,,-4,5
CMPC.SN,Cellulose,322110,-4,5
CMPC.SN,Paper Supplies,322130,-4,5
CMPC.SN,Investment in CMPC,"322120, 322110",-4,5
CMPC.SN,Tissue,322299,-4,5
COPEC.SN,Fishing Operations/Igemar,"311710, 114119",-4,6
COPEC.SN,Fuel Distribution/COPEC,"424720, 221210",-4,6
COPEC.SN,Liquid Gas/Abastible,221210,-4,6
COPEC.SN,Forestry Operations/Arauco,"322110, 113210",-4,6
COPEC.SN,Other Services and Investments,,-4,6
COPEC.SN,Liquid Gas/Sonacol,486910,-4,6
GGBR4.SA,Unit Special Steel,"331513, 331512",-4,5
GGBR4.SA,Unit North America,"331513, 331512",-4,5
