Instrument,year,has ren segment,number of segments
RATCH.BK,0,False,4
RATCH.BK,0,True,4
RATCH.BK,0,False,4
RATCH.BK,0,False,4
RITS.NS,0,False,6
RITS.NS,0,False,6
RITS.NS,0,False,6
RITS.NS,0,False,6
RITS.NS,0,False,6
RITS.NS,0,False,6
ROH2O.BX,0,False,3
ROH2O.BX,0,False,3
ROH2O.BX,0,False,3
RWEG.DE,0,False,7
RWEG.DE,0,False,7
RWEG.DE,0,False,7
RWEG.DE,0,False,7
RWEG.DE,0,True,7
RWEG.DE,0,False,7
RWEG.DE,0,False,7
SHEL.L,0,False,6
SHEL.L,0,False,6
SHEL.L,0,False,6
SHEL.L,0,False,6
SHEL.L,0,False,6
SHEL.L,0,False,6
SO.N,0,False,6
SO.N,0,False,6
SO.N,0,False,6
SO.N,0,False,6
SO.N,0,True,6
SO.N,0,False,6
SPI.OQ,0,False,4
SPI.OQ,0,True,4
SPI.OQ,0,False,4
SPI.OQ,0,False,4
SRG.MI,0,False,6
SRG.MI,0,False,6
SRG.MI,0,False,6
SRG.MI,0,False,6
SRG.MI,0,False,6
SRG.MI,0,False,6
SSE.L,0,False,10
SSE.L,0,False,10
SSE.L,0,False,10
SSE.L,0,False,10
SSE.L,0,False,10
SSE.L,0,False,10
SSE.L,0,False,10
SSE.L,0,False,10
SSE.L,0,False,10
SSE.L,0,True,10
SVT.L,0,False,4
SVT.L,0,False,4
SVT.L,0,False,4
SVT.L,0,False,4
SXC.N,0,False,5
SXC.N,0,False,5
SXC.N,0,False,5
SXC.N,0,False,5
SXC.N,0,False,5
TA.TO,0,False,7
TA.TO,0,True,7
TA.TO,0,False,7
TA.TO,0,False,7
TA.TO,0,True,7
TA.TO,0,False,7
TA.TO,0,True,7
TCIL.NS,0,False,6
TCIL.NS,0,False,6
TCIL.NS,0,False,6
TCIL.NS,0,False,6
TCIL.NS,0,False,6
TCIL.NS,0,False,6
TTPW.NS,0,True,5
TTPW.NS,0,False,5
TTPW.NS,0,False,5
TTPW.NS,0,True,5
TTPW.NS,0,False,5
UN01.DE,0,False,3
UN01.DE,0,False,3
UN01.DE,0,False,3
UNACEMC1.LM,0,False,5
UNACEMC1.LM,0,False,5
UNACEMC1.LM,0,False,5
UNACEMC1.LM,0,True,5
UNACEMC1.LM,0,False,5
VERB.VI,0,False,6
VERB.VI,0,False,6
VERB.VI,0,False,6
VERB.VI,0,False,6
VERB.VI,0,False,6
VERB.VI,0,True,6
XEL.OQ,0,False,3
XEL.OQ,0,False,3
XEL.OQ,0,False,3
