Instrument,Segment Name,year
TTPW.NS,Power,FY-7
TTPW.NS,Others,FY-7
TTPW.NS,Inter-Segment Revenue,FY-7
UN01.DE,Administration/Consolidation,FY-7
UN01.DE,European Generation,FY-7
UN01.DE,International Power Generation,FY-7
UN01.DE,Global Commodities,FY-7
UNACEMC1.LM,Adjustment,FY-7
UNACEMC1.LM,Cement,FY-7
UNACEMC1.LM,Concrete,FY-7
UNACEMC1.LM,Electric Energy,FY-7
UNACEMC1.LM,Other,FY-7
VERB.VI,Reconciliation/Consolidation,FY-7
VERB.VI,All other segments,FY-7
VERB.VI,Renewable Generation,FY-7
VERB.VI,Grid,FY-7
VERB.VI,Sales,FY-7
XEL.OQ,Regulated Electric,FY-7
XEL.OQ,All Other,FY-7
XEL.OQ,Gas Utility,FY-7
XEL.OQ,Reconciling Eliminations,FY-7
