Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY-5).segmentCode,number of segments
JBHT.OQ,Intermodal (JBI),"484121, 484110, 482112, 482111",-5,,,,5.0
JBHT.OQ,Truckload (JBT),"532120, 484121, 484110, 482112",-5,,,,5.0
GCARSOA1.MX,Retail,455110,-5,,,,5.0
GCARSOA1.MX,Other and Eliminations,,-5,,,,5.0
GCARSOA1.MX,Construction,455110,-5,,,,5.0
GCARSOA1.MX,Industrial,"333998, 335931, 335929, 237130",-5,,,,5.0
GCARSOA1.MX,Carso Energy,"211120, 486110",-5,,,,5.0
ITW.N,Food Equipment,"333241, 449210, 333310, 334515",-5,,,,8.0
ITW.N,Polymers & Fluids,"336611, 325998, 325520, 325510",-5,,,,8.0
ITW.N,Intersegment Revenues,,-5,,,,8.0
ITW.N,Construction Products,"444180, 333998, 339993, 333120",-5,,,,8.0
ITW.N,Specialty Products,"513130, 445298, 333993, 323111",-5,,,,8.0
ITW.N,Automotive OEM,"336390, 336110, 332999, 326199",-5,,,,8.0
ITW.N,Test & Measurement and Electronics,"513210, 334515, 334418, 325520",-5,,,,8.0
ITW.N,Welding,"221118, 336611, 333992, 332999",-5,,,,8.0
IFF.N,Taste,325998,-5,,,,3.0
IFF.N,Scent,"325180, 456191, 561499, 325998",-5,,,,3.0
IFF.N,Frutarom,325199,-5,,,,3.0
WKC.N,Land,"531390, 424720, 237210",-5,,,,3.0
WKC.N,Aviation,"459999, 513210, 481111, 424720",-5,,,,3.0
WKC.N,Marine,"541614, 488390, 424720",-5,,,,3.0
EME.N,United States mechanical construction and facilities services,"811310, 238220, 238210, 221121",-5,,,,6.0
EME.N,United Kingdom construction and facilities services,"811310, 238220, 238210, 236210",-5,,,,6.0
EME.N,United States electrical construction and facilities services,"811310, 238220, 238210, 221121",-5,,,,6.0
EME.N,Intersegment Revenue,,-5,,,,6.0
EME.N,United States building services,"811310, 238220, 238210",-5,,,,6.0
EME.N,United States industrial services,"811310, 541330, 238220, 221121",-5,,,,6.0
J.N,People & Places Solutions,"561990, 541330",-5,,,,2.0
J.N,Critical Mission Solutions,"541511, 541330, 518210",-5,,,,2.0
K.N,Asia-Pacific,"311919, 311230",-5,,,,7.0
