Instrument,Segment Name,Segment Code,year,Unnamed: 4,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentName,TR.F.BUSTOTREVBIZACTIV(SDATE=FY0).segmentCode,number of segments
PAAS.TO,Navidad other segment,212220,0,,,,13.0
PAAS.TO,Dolores- Gold Segments,212220,0,,,,13.0
PAAS.TO,Escobal Silver segment,212220,0,,,,13.0
PAAS.TO,Pas Corp other segment,212220,0,,,,13.0
PAAS.TO,Other,,0,,,,13.0
PAAS.TO,Morococha Silver segment:,212220,0,,,,13.0
PAAS.TO,Gold Segment Shahuindo,212220,0,,,,13.0
PAAS.TO,Gold segment-La Arena,212220,0,,,,13.0
PAAS.TO,Huaron Silver segment:,212220,0,,,,13.0
PAAS.TO,San Vicente Silver segment:,212220,0,,,,13.0
PAAS.TO,Gold Segment-Timmins,212220,0,,,,13.0
PAAS.TO,Manantial Espejo Silver segment,212220,0,,,,13.0
PKI.TO,Corporate,,0,,,,6.0
PKI.TO,USA,"457110, 424720",0,,,,6.0
PKI.TO,International,"457110, 424720",0,,,,6.0
PKI.TO,Canada,457110,0,,,,6.0
PKI.TO,Intersegment Elimination,,0,,,,6.0
PKI.TO,Refining,324110,0,,,,6.0
WTRG.N,Other,,0,,,,3.0
WTRG.N,Regulated Water,221310,0,,,,3.0
WTRG.N,Regulated Natural Gas,221210,0,,,,3.0
PPC.OQ,Mexico,"424440, 311615",0,,,,3.0
PPC.OQ,U.S,"424440, 311615",0,,,,3.0
PPC.OQ,U.K. and Europe,"424440, 311615",0,,,,3.0
TROW.OQ,investment Advisory Business,,0,,,,1.0
PNM.N,Corporate & Other,,0,,,,3.0
PNM.N,PNM Electric,"221118, 221114, 221113, 221112",0,,,,3.0
PNM.N,TNMP Electric,"486210, 221210, 221122, 221121",0,,,,3.0
KWR.N,Operating Segment- EMEA,"332811, 324191",0,,,,4.0
KWR.N,Operating Segment- Asia Pacific,"332811, 324191",0,,,,4.0
KWR.N,Operating Segment- North America,"332811, 325998",0,,,,4.0
KWR.N,Global Specialty Businesses,"332812, 325998, 324110",0,,,,4.0
RPM.N,Consumer Segment,"325998, 325991, 325520, 325510",0,,,,4.0
RPM.N,Specialty Segment,"325998, 325991, 325510, 324122",0,,,,4.0
RPM.N,PCG Segment,"325520, 325510, 324122",0,,,,4.0
RPM.N,CPG Segment,"325180, 326199",0,,,,4.0
RRX.N,Eliminations,,0,,,,5.0
RRX.N,Climate Solutions,335312,0,,,,5.0
RRX.N,Industrial Systems,335312,0,,,,5.0
RRX.N,Commercial Systems,335312,0,,,,5.0
RRX.N,Motion Control Solutions,332999,0,,,,5.0
ROL.N,pest and termite control,,0,,,,1.0
R.N,Eliminations,,0,,,,4.0
R.N,Fleet Management Solutions,"532120, 484121",0,,,,4.0
R.N,Supply Chain Solutions,"493110, 488999, 484121",0,,,,4.0
R.N,Dedicated Transportation Solutions,"811198, 541614, 532120, 488999",0,,,,4.0
EIX.N,,,0,,,,0.0
SEIC.OQ,Institutional Investors,"523940, 518210",0,,,,5.0
SEIC.OQ,Investment Advisors,"523940, 518210",0,,,,5.0
SEIC.OQ,Investment Managers,"523940, 525910, 518210",0,,,,5.0
SEIC.OQ,Private Banks,"523940, 518210",0,,,,5.0
SEIC.OQ,Investments in New Business,"523940, 518210",0,,,,5.0
SJW.N,Real Estate Services,"531312, 531120",0,,,,3.0
SJW.N,Water Utility Services,221310,0,,,,3.0
SJW.N,All Other,,0,,,,3.0
ATRL.TO,Capital,523940,0,,,,6.0
ATRL.TO,Nuclear,"541330, 221113",0,,,,6.0
ATRL.TO,Linxon,541330,0,,,,6.0
ATRL.TO,Engineering Services,541330,0,,,,6.0
ATRL.TO,LSTK Projects,541330,0,,,,6.0
ATRL.TO,O&M,236210,0,,,,6.0
FSZ.TO,Asset Management Services,,0,,,,1.0
SVT.A,Consumer Products,332215,0,,,,2.0
SVT.A,Advanced Technology Products,335312,0,,,,2.0
SHW.N,Consumer Brands group,"424950, 325510",0,,,,4.0
SHW.N,Administrative,,0,,,,4.0
SHW.N,Performance coatings group,325510,0,,,,4.0
SHW.N,The Americas group,424950,0,,,,4.0
CPLE6.SA,DIS - Distribution,221111,0,,,,6.0
CPLE6.SA,HOL - Holding,,0,,,,6.0
CPLE6.SA,Eliminations,,0,,,,6.0
CPLE6.SA,GAS,,0,,,,6.0
CPLE6.SA,GET - Generation & Transmission,,0,,,,6.0
CPLE6.SA,Commercialization,221122,0,,,,6.0
AOS.N,North America,"333310, 332410",0,,,,4.0
AOS.N,Inter-segment,,0,,,,4.0
AOS.N,China,"333310, 333415, 332410",0,,,,4.0
AOS.N,All other Rest of World,"334512, 332410",0,,,,4.0
SJM.N,International and Away From Home,"722310, 424480, 311920",0,,,,4.0
SJM.N,U.S. Retail Consumer Foods,"424420, 311911, 311421",0,,,,4.0
SJM.N,U.S. Retail Coffee,311920,0,,,,4.0
SJM.N,U.S. Retail Pet Foods,311111,0,,,,4.0
SWX.N,Natural Gas Operations,221210,0,,,,3.0
SWX.N,Utility InfrastructureServices,"237130, 237120",0,,,,3.0
SWX.N,Pipeline and Storage,221210,0,,,,3.0
SYY.N,SYGMA,"424490, 424480, 424420, 311612",0,,,,4.0
SYY.N,Other,424990,0,,,,4.0
SYY.N,U.S. Foodservice Operations,"424480, 424420, 424410, 311612",0,,,,4.0
SYY.N,International Foodservice Operations,"424480, 424420, 424410, 311612",0,,,,4.0
TRNS.OQ,Distribution,"519290, 541810, 334514",0,,,,2.0
TRNS.OQ,Service,"562910, 541990, 541380",0,,,,2.0
TSN.N,Intersegment,,0,,,,6.0
TSN.N,Prepared Foods,"311830, 311612, 311412",0,,,,6.0
TSN.N,Pork,"311612, 311611",0,,,,6.0
TSN.N,Other,,0,,,,6.0
TSN.N,Chicken,"311615, 112320",0,,,,6.0
TSN.N,Beef,"311611, 112111",0,,,,6.0
X.N,USSE,331210,0,,,,6.0
X.N,Tubular,331210,0,,,,6.0
X.N,Reconciling Items and Eliminations,,0,,,,6.0
X.N,Other,,0,,,,6.0
X.N,Flat-rolled,"331110, 331221",0,,,,6.0
X.N,Mini Mill,331110,0,,,,6.0
WM.N,Other (a),"562211, 562112",0,,,,3.0
WM.N,Other,,0,,,,3.0
WM.N,Solid Waste,"562212, 562111",0,,,,3.0
UNF.N,Specialty Garments,"315210, 315250, 812332",0,,,,6.0
