Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
9505.T,4252530802.5308,12.8913443830571,0.247182498318763,0.327077252858104,,2.7,2711484084.71454,208815694.0,12316441891.4419,140229697.680875,9450899100.8991,116.129032258065,7291150516.15052,2794638694.63869,10156693306.6933,7291150516.15052,,2.72222138109585,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,617231863.817742,33.33484,365235203.339205,Japan,365235203.339205,1072352274.23514,D,FY-8
9513.T,4896636696.6367,34.1536916122551,2.25045818669348,2.50793564605329,2.61895726495726,7.2,5688966750.37669,183050449.0,22137437562.4376,257974383.218942,16340750915.7509,26.9800490672592,14355661005.661,5733699633.69963,20152347652.3476,14355661005.661,3.65,7.17145361112218,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,852867478.875293,29.13904,665949390.127158,Japan,665949390.127158,1356449488.63463,B,FY-8
9531.T,19085481185.4812,27.2936547798426,2.29632026253787,1.64863598115113,1.85249840121171,9.2,13356304421.3083,488047617.6,18795054945.0549,115706410.047073,9743589743.58974,25.4643736694912,6091067266.06727,8903721278.72128,15142532467.5325,6064585414.58541,-2.3,9.20846662329638,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Utilities (NEC),59,5910,591020,59102010,5910201010,1296562578.24452,28.82647,1569865158.76569,Japan,1569865158.76569,1877498513.92442,B+,FY-8
A2.MI,5759390310.28851,1.01806379461247,0.076426509228923,0.073961137963474,0.074966749927012,6.518,3189497434.46404,3105987668.0,12499848787.2739,216520856.784876,8654206738.03908,,4906550535.29305,3119820964.13234,8752192584.52792,4906550535.29305,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,592443571.325489,29.609871568448,686756337.1643,Italy,686756337.1643,407803086.091761,B,FY-8
ACOx.TO,,41.022551213634,2.73690761129727,2.81160431198478,,12.41,4724352937.62265,115141428.0,15225512136.3402,282637138.135324,9820106730.93476,23.5714285714286,6359097951.45464,2726803236.35738,11764503356.86,6359097951.45464,,13.9349701393497,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,508203315.685631,23.966925946366,1039959726.21587,Canada,1039959726.21587,2080825340.695,C+,FY-8
ADAI.NS,21730439.1526831,,,,,,,1090000000.0,1842090643.58002,11693340.8134285,1670242914.00469,,1554493885.0024,171847729.57533,1726341614.57773,1554493885.0024,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,6066789.97835961,25.994567084708,10505186.0995658,India,10505186.0995658,31707037.7773777,,FY-8
AEP.OQ,16333700000.0,60.72,3.52462,3.70981,3.98659,10.18,29716523868.2399,489402567.0,59544600000.0,765100000.0,42720100000.0,62.6615394313812,19858400000.0,16820200000.0,36682900000.0,19858400000.0,5.0475,9.64163718804323,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,1897600000.0,4.12376,3127400000.0,United States of America,3127400000.0,4246200000.0,B,FY-8
AES.N,16124000000.0,13.77,1.25894,1.32983,1.41933,21.78,9818648322.11999,703851297.0,38966000000.0,1451000000.0,31641000000.0,15.177304964539,20858000000.0,4272000000.0,28261000000.0,20858000000.0,2.4,18.344571029993,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,1245000000.0,35.16484,2765000000.0,United States of America,2765000000.0,2016000000.0,C+,FY-8
AEV.PS,2455134972.06704,1.15058837136465,0.084262793296089,0.097653631284916,,,6529826283.64429,5538581307.0,6279252648.04469,150942860.1373,3263946189.94413,33.4591542613905,2654362458.10056,2412159865.92179,5669668916.20112,2654362458.10056,2.4,17.9435608821446,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,116330464.007994,11.76407818445,553279044.382197,Philippines,553279044.382197,432167305.135812,C,FY-8
ALS.TO,3016061.32505932,11.886727491823,,,,,385252677.422964,32356826.0,294733747.412008,8755789.08968263,78771842.6501035,,61603312.6293996,215961904.761905,277565217.391304,131199123.927724,,-12.0905178020078,Basic Materials,Mineral Resources,Metals & Mining,Diversified Mining,Diversified Mining,51,5120,512010,51201080,5120108010,419893.773892058,23.74702,-2244380.23425464,Canada,-2244380.23425464,1076359.71561104,,FY-8
AP.PS,1938757229.05028,0.938916631946309,0.053408570787525,0.057174118175691,0.057829753914989,18.604,7062284670.47651,7358604307.0,4843821698.32402,135111412.864649,2696772759.77654,73.1509452395137,2181075106.14525,2055018815.64246,4328124044.69274,2181075106.14525,2.7,18.6036020598042,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Fossil Fuel IPPs,59,5910,591010,59101020,5910102011,104663441.942034,11.441334533663,713129646.349752,Philippines,713129646.349752,339013483.236374,C+,FY-8
ARG.CN,3892918341.70854,8.6403102082104,,,,,6759796172.97479,793115568.0,14363268006.7002,218771480.385529,5825847152.42881,32.2511031856374,4103749581.23953,5957579564.48911,12641170435.5109,4103749581.23953,,3.72200802141514,Basic Materials,Mineral Resources,Construction Materials,Construction Materials,Cement & Concrete Manufacturing,51,5120,512020,51202010,5120201012,282357427.690726,33.2096794976,628393116.197016,Colombia,628393116.197016,435583807.195023,C-,FY-8
AVA.N,1433343000.0,35.35,1.97852,2.02055,,8.8,2200164239.35,62243374.0,4700971000.0,71828000.0,3217729000.0,65.4635124968653,1645104000.0,1483671000.0,3128346000.0,1645104000.0,,8.60048232580393,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010,138337000.0,12.68468767252,252588000.0,United States of America,252588000.0,331943000.0,,FY-8
AVNT.NS,285905528.625767,,,,,,229446604.353482,136244948.77526,76680624.8424487,123937.956585156,34084227.5289694,21.5475737585844,9376169.09088282,42596397.3134793,51972566.4043621,9376169.09088282,,,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Fishing & Farming,Animal Feed,54,5410,541020,54102010,5410201024,1439647.46163032,24.2877,28483848.9835606,India,28483848.9835606,2680319.92310716,,FY-8
AWR.N,361059000.0,37.66,1.5132,1.75,1.88,12.21,1446145431.08,38286626.0,1378298000.0,21617000.0,871497000.0,52.880245043146,326090000.0,506801000.0,832891000.0,326090000.0,2.0,12.1544627979243,Utilities,Utilities,Water & Related Utilities,Water & Related Utilities,Water & Related Utilities (NEC),59,5910,591030,59103010,5910301010,41751000.0,23.18636,118990000.0,United States of America,118990000.0,72553000.0,,FY-8
AY.OQ,362693000.0,27.32,1.23409,1.86928,4.74,-0.22,2287435300.0,80000000.0,7963995000.0,359114000.0,5080527000.0,,4201481000.0,2795439000.0,7084949000.0,4201481000.0,0.0,-0.152563807927629,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Alternative Electric Utilities,59,5910,591010,59101010,5910101020,125480000.0,21.14241,173343000.0,United Kingdom,173343000.0,56960000.0,,FY-8
BEPC.N,,,,,,,,,,,,,,,,,,,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Alternative Electric Utilities,59,5910,591010,59101010,5910101020,,15.697913341561,,United States of America,,,,FY-8
BEP_u.TO,1704000000.0,16.4257156782579,0.2733,0.30149,0.60889,1.97,4429773677.56928,215034205.82897,19849000000.0,415000000.0,10968000000.0,372.413793103448,7722000000.0,3167000000.0,16603000000.0,7678000000.0,9.1,1.96843712879688,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Hydroelectric & Tidal Utilities,59,5910,591010,59101010,5910101021,548000000.0,17.281305,594000000.0,Bermuda,594000000.0,186000000.0,C-,FY-8
