Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
HENY.KL,3090564196.62509,1.03203717290291,,,,-6.374,309611151.870873,300000000.0,1382268280.75324,5398441.97385441,890377109.317682,0.0,345480557.593544,491891171.435559,837371729.029102,345480557.593544,,1.73488632041343,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011.0,34879249.0537136,24.98788,40298946.6380243,Malaysia,40298946.6380243,138624260.575688,,FY-3
FTS.TO,6763437548.12875,41.4908362852302,1.99647998794,2.13691867038517,2.31706489786689,6.36,18996903810.0415,463300000.0,41124287694.4402,780361898.28861,25636069613.4298,49.607250755287,17819189896.812,13020175573.6947,33307407977.8223,17819189896.812,4.242,10.4029165880948,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,1017863345.59384,14.277,1855527180.37514,Canada,1855527180.37514,2804778996.74747,A-,FY-3
UP.BK,22184089.0456989,0.467601870407482,,,,10.914,11690046.760187,25000000.0,21103773.9919355,0.0,5487249.09274194,,,15616524.8991935,15616524.8991935,0.0,,-7.24952897568245,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010.0,1336734.19046513,18.52329,-2719502.37818369,Thailand,-2719502.37818369,564581.416341162,,FY-3
AES.N,10189000000.0,19.9,1.44811,1.57395,1.68992,39.969,13212657854.4,663952656.0,33648000000.0,1050000000.0,28419000000.0,121.523178807947,20173000000.0,2996000000.0,26290000000.0,20173000000.0,9.5,9.73565441650548,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010.0,1045000000.0,35.16484,2158000000.0,United States of America,2158000000.0,2405000000.0,B,FY-3
2HR.DE,1205436854.02327,5.97917366476318,0.342618595825427,0.491905665492003,,-0.42,222555283.439704,37221746.0,940067932.65027,6341962.55084949,532644665.157052,,258092504.988454,363654911.104634,665515772.481672,258092504.988454,-11.4,-0.424540817830714,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010.0,50829721.7365296,28.38682,14952749.3322976,Germany,14952749.3322976,84128942.683895,C,FY-3
ATD.TO,54132400000.0,31.8650854766672,1.51951,1.81553,2.15,23.38,35677621801.0626,1112692000.0,25679500000.0,305000000.0,15612900000.0,9.16468388851122,10379300000.0,10066600000.0,20445900000.0,10379300000.0,,24.7880441078895,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Gasoline Stations,50,5010,501020,50102030,5010203012.0,1344900000.0,19.45759,3097600000.0,Canada,3097600000.0,1408200000.0,C,FY-3
AE.A,1811247000.0,38.07,,,,,161172657.09,4235533.0,330842000.0,636000.0,179201000.0,48.4464481540149,6543000.0,151641000.0,158184000.0,6543000.0,,5.50363969836272,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Product Wholesale,50,5010,501020,50102030,5010203013.0,16641000.0,22.85319743272,7824000.0,United States of America,7824000.0,41367000.0,D+,FY-3
ECR.MC,750826177.611372,2.86976212362397,0.244795317733195,0.330139867142905,,11.0,301083449.274712,104915821.0,735841759.522902,3888453.56541672,408416474.228191,20.2781601649325,204621886.420196,327425285.294711,532047171.714907,204621886.420196,,11.0015433985601,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010.0,29746557.8452834,24.94374,34791249.9061162,Spain,34791249.9061162,24030284.8577811,C,FY-3
ALOD.PK,325800.0,0.2,,,,,1130602.2,5653011.0,2808456.0,,238105.0,,,2570351.0,2570351.0,0.0,,-4.88260899910034,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010.0,82117.0,,-136980.0,United States of America,-136980.0,,,FY-3
PTPh.V,0.0,,,,,,679362.563529955,35288809.0,25028.4922223933,449108.451098551,10198228.8618512,,4058285.84629601,-10173200.3696288,-6114914.52333282,7380517.48036347,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010.0,,23.74702,-75821.7715725579,Canada,-75821.7715725579,,,FY-3
