Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,ESG Combined Score Grade,year
ARCH.N,3724593000.0,133.461810947,36.80424,17.34971,26.36,105.159,2582043012.0,17554000.0,2433108000.0,20461000.0,1067528000.0,34.2966562828252,178374000.0,1365580000.0,1543954000.0,178374000.0,,129.880367670092,Energy,Energy - Fossil Fuels,Coal,Coal,Coal (NEC),50,5010,501010,50101010,5010101010,133300000.0,22.05976,1128406000.0,United States of America,1128406000.0,173797000.0,B-,FY0
MERC.OQ,2280937000.0,11.64,1.73646,2.16312,1.96,32.229,770186103.24,66167000.0,2725037000.0,71499000.0,1886253000.0,8.03395415298799,1353876000.0,838784000.0,2192660000.0,1353876000.0,-18.717,32.2335217457111,Basic Materials,Applied Resources,Paper & Forest Products,Paper Products,Pulp Mills,51,5130,513010,51301020,5130102013,144153000.0,22.05976,392368000.0,Canada,392368000.0,179237000.0,B,FY0
ATO.N,4275357000.0,112.07,6.47161,6.90592,7.38083,8.73,15803660206.1799,148492783.0,22516968000.0,137281000.0,11646904000.0,48.6089775448425,6892634000.0,10870064000.0,17762698000.0,6892634000.0,7.5,8.72702682787923,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Utilities (NEC),59,5910,591020,59102010,5910201010,604327000.0,18.76433,1067147000.0,United States of America,1067147000.0,2805973000.0,C+,FY0
BLX.TO,617019706.251384,29.5372352203115,0.73525608053494,0.889484899698729,0.994422808435594,5.91,3035330472.35958,102762850.0,4826186434.4232,89968089.4927382,3330873127.16806,226.666666666667,2662189091.44586,1240681969.14901,4157502398.70101,2662189091.44586,74.197,2.23713646532438,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Wind Electric Utilities,59,5910,591010,59101010,5910101023,226842618.806477,24.78714441442,151484731.880935,Canada,151484731.880935,189163675.343706,B+,FY0
MTZ.N,9778038000.0,85.33,4.84639,6.51048,7.92132,17.131,6675729576.46,78682050.0,9293259000.0,,6552072000.0,0.0,3224109000.0,2737329000.0,5965296000.0,3224109000.0,4.1335,1.26409428747173,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Power & Communications Network Construction,52,5220,522010,52201020,5220102014,507148000.0,23.09969,323478000.0,United States of America,323478000.0,263352000.0,B-,FY0
TFII.TO,8812491000.0,100.08856742195,7.75116,8.72811,10.45126,31.25,8657205779.10547,86539559.0,5505830000.0,65494000.0,3042760000.0,12.4648944647438,1728796000.0,2463070000.0,4191866000.0,1728796000.0,,34.4922985068373,Industrials,Transportation,Freight & Logistics Services,Ground Freight & Logistics,Freight Trucking,52,5240,524050,52405030,5240503012,430593000.0,22.75732,950048000.0,Canada,950048000.0,356944000.0,C-,FY0
CWT.N,846431000.0,60.64,1.89988,2.07416,2.17,7.7,3324527360.0,55598000.0,3850752000.0,44342000.0,2528358000.0,,1125797000.0,1317590000.0,2448191000.0,1125797000.0,,7.6957050061238,Utilities,Utilities,Water & Related Utilities,Water & Related Utilities,Water & Related Utilities (NEC),59,5910,591030,59103010,5910301010,117364000.0,22.05976,130922000.0,United States of America,130922000.0,327757000.0,A,FY0
CASY.OQ,15094475000.0,224.35,10.88816,11.39764,11.9105,18.23,8358971845.7,37263248.0,5943270000.0,59638000.0,3282604000.0,12.8697466481304,1673374000.0,2660666000.0,4334040000.0,1673374000.0,11.6,18.2266912359961,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Food Retail & Distribution,Supermarkets & Convenience Stores,54,5430,543010,54301020,5430102012,313131000.0,22.90256,629436000.0,United States of America,629436000.0,476568000.0,C+,FY0
CPSH.OQ,26586930.0,2.69,,,,17.55,38840334.3399999,14450470.0,21679943.0,,5974427.0,0.0,98558.0,15705516.0,15804074.0,98560.0,,14.7645661634091,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Components & Equipment (NEC),52,5210,521020,52102030,5210203010,445739.0,22.05976,2234420.0,United States of America,2234420.0,439772.0,,FY0
CPK.N,710174000.0,118.18,5.43747,5.77724,6.12158,11.179,2096635398.12,17741418.0,2215037000.0,24356000.0,1382236000.0,41.6043030869972,802028000.0,832801000.0,1634829000.0,802028000.0,,11.1760865899034,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities,Natural Gas Distribution,59,5910,591020,59102010,5910201011,68973000.0,25.93746,142933000.0,United States of America,142933000.0,128276000.0,C,FY0
