,Instrument,TRBC Activity Code,Return On Equity - Actual,"Return on Average Common Equity - %, TTM",year
155,FM.TO,5120105012,10.169,9.88574979683541,FY0
156,CUPRUM.SN,5510202011,29.567,10.6103542003938,FY0
157,ARCB.OQ,5240503010,33.5,28.6674921219649,FY0
159,CMPC.SN,5130102010,13.009,13.0105083755451,FY0
160,COPEC.SN,5010203010,12.73,12.7252705429389,FY0
161,GGBR4.SA,5120102010,26.14,25.756200857173,FY0
163,VALE3.SA,5120102011,48.049,45.3768625746018,FY0
164,WEGE3.SA,5210203010,29.589,29.5929579730016,FY0
165,ENAEX.SN,5110101014,14.92,22.2990799028763,FY0
166,GOAU4.SA,5120102010,28.9,49.4743170313897,FY0
167,PETR4.SA,5010201010,47.5,50.2259565315372,FY0
168,CS.TO,5120105012,4.49,6.48675936473828,FY0
169,AUTLANB.MX,5120105010,8.1,8.06889442362859,FY0
170,BIMBOA.MX,5410202012,42.409,27.0537939692916,FY0
171,ORBIA.MX,5110101011,21.0,21.0191785201758,FY0
172,CEMEXCPO.MX,5120201010,5.45,5.2952425120682,FY0
173,ALFAA.MX,5440101010,28.94,29.2295010701739,FY0
174,PEOLES.MX,5120108010,4.62,4.61778308485075,FY0
175,FEMSAUBD.MX,5430102012,9.419,9.10984506698384,FY0
176,WT.N,5510202011,14.49,15.6407870825254,FY0
177,TKO.TO,5120105010,0.48,-7.26535716233965,FY0
178,FVI.TO,5120108010,3.25,-9.78142710572601,FY0
179,NATR.OQ,5410202025,0.35,-0.25904412717074,FY0
180,COLBUN.SN,5910101010,10.689,10.6882606590906,FY0
181,ODFL.OQ,5240503012,37.56,37.5620028791483,FY0
182,MMS.N,5220304010,10.06,10.0579198223552,FY0
183,CASAGRC1.LM,5410202022,7.113,10.372289825357,FY0
184,AME.N,5210203010,18.329,16.1626707264004,FY0
185,VLO.N,5010203010,55.14,54.7021980900669,FY0
187,UGPA3.SA,5010203012,16.539,13.7674895945758,FY0
188,BACHOCOB.MX,5410202016,12.259,12.1919562194968,FY0
189,CHRW.OQ,5240503010,57.409,55.7288771910281,FY0
190,PPL.TO,5010303010,12.42,22.4601888805469,FY0
191,CWST.OQ,5220301012,12.369,11.534437180355,FY0
193,FE.N,5910101010,14.6,4.30975001326893,FY0
194,AMG.N,5510202010,26.66,38.0906476972427,FY0
195,INGR.N,5410202010,15.98,15.7515607491596,FY0
196,URI.N,5220304018,35.359,32.2531218876886,FY0
197,AQN.TO,5910401010,8.57,-4.12153225112198,FY0
198,AAIC.N,5510202010,3.9,1.41875963247574,FY0
199,AEE.N,5910401010,10.63,10.6294536817102,FY0
200,PWR.N,5220102010,17.879,9.3597560539894,FY0
201,RBA.TO,5220304010,22.87,27.0863167313764,FY0
202,FHI.N,5510202011,25.09,21.0832107473738,FY0
203,EGIE3.SA,5910102012,32.8,32.5449771562546,FY0
204,BTU.N,5010101010,51.96,51.8876048947548,FY0
205,WCC.N,5210203020,20.899,19.4994923973729,FY0
206,SRE.N,5910401010,14.74,8.16087922366421,FY0
207,RSG.N,5220301010,16.75,15.9400800432898,FY0
208,RAIL3.SA,5240503010,3.43,3.43446854077106,FY0
209,EPD.N,5010303010,21.079,20.9462984029458,FY0
210,PAA.OQ,5010303010,8.54,10.7607640012949,FY0
211,ALA.TO,5910201010,7.36,6.28395936687928,FY0
212,TRPL4.SA,5910101010,14.8,14.7972024934838,FY0
213,CE.N,5110101010,35.289,38.7136169346631,FY0
214,BLK.N,5510202010,14.29,13.7280114532656,FY0
215,NEE.N,5910101010,15.029,10.8516177990606,FY0
216,SAPR4.SA,5910301011,13.859,13.8629040748189,FY0
217,PX.N,5510202014,15.5,7.40985053951404,FY0
218,SPTN.OQ,5430102010,10.94,4.40482731060075,FY0
219,BRAP4.SA,5120102011,49.77,49.7693195194519,FY0
220,NS.N,5010303010,15.54,21.372722648228,FY0
221,RGP.OQ,5220304010,17.379,13.8147754231742,FY0
222,CVERDEC1.LM,5120105012,14.48,14.4830434216778,FY0
223,GPN.N,5220304027,10.72,0.465216062511606,FY0
224,GDI.TO,5220304016,8.669,8.67440616461131,FY0
225,GLNG.OQ,5010303011,9.231,41.2410769027865,FY0
226,XPO.N,5240503010,37.95,17.1162790697674,FY0
227,CHE_u.TO,5110101010,23.07,23.0673692332898,FY0
228,WCN.TO,5220301012,13.04,11.8553493649574,FY0
229,HEES.OQ,5220304018,37.53,37.9583886977162,FY0
230,SAIA.OQ,5240503012,25.53,25.5331156413211,FY0
231,CMP.N,5110101010,5.32,4.00723888314374,FY0
232,KEY.TO,5010303010,11.99,11.9895185661983,FY0
233,FA.OQ,5220304010,13.849,5.72006360741898,FY0
234,WLK.N,5110101010,25.129,24.9916135524992,FY0
235,KUT.V,5220304010,13.4,13.4046850218505,FY0
236,BIP.N,5440101010,6.169,1.26178390137781,FY0
237,KW.N,6010101010,13.859,4.54115421002838,FY0
238,IVZ.N,5510202011,5.0,6.02863137109712,FY0
239,VMC.N,5120201010,10.13,8.8202113763211,FY0
242,VTNR.OQ,5010203010,11.01,-17.7629246522492,FY0
243,SUZB3.SA,5130102010,97.15,97.147143999816,FY0
244,USIM5.SA,5120102010,7.2,7.19546164336826,FY0
245,SORIANAB.MX,5430102012,6.86,6.86007245800064,FY0
246,HERDEZ.MX,5410202010,11.599,11.3555196478622,FY0
247,ICHB.MX,5120102010,14.8,16.7939792657048,FY0
248,LSTR.OQ,5240503012,49.27,49.2689644763899,FY0
249,USNA.N,5410202025,16.719,16.7189812872772,FY0
250,GCC.MX,5120201012,13.41,10.2632736255864,FY0
251,PARR.N,5010203011,104.299,80.0206979061497,FY0
252,SIMECB.MX,5120102010,19.19,17.1420320252445,FY0
253,YPFD.BA,5010203010,21.69,21.4838631517376,FY0
