Instrument,Revenue,Price Close,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Earnings Per Share - SmartEstimate®,Return On Equity - Actual,Company Market Cap,Common Shares - Outstanding - Total,Total Assets,Interest Expense,Total Liabilities,Dividend Payout Ratio - %,Interest Bearing Liabilities - Total,Shareholders Equity - Common,Total Capital,Total Debt,Long Term Growth - Mean,"Return on Average Common Equity - %, TTM",TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code,Depreciation Depletion & Amortization - Total,"WACC Tax Rate, (%)",Earnings before Interest & Taxes (EBIT),Country of Headquarters,Operating Profit before Non-Recurring Income/Expense,Capital Expenditures - Total,year
ATD.TO,45760100000.0,34.1712490180676,2.02862,2.19422,2.58,24.42,37949844705.2945,1079612000.0,28394500000.0,301500000.0,16213600000.0,9.91683607466272,9602000000.0,12180900000.0,21782900000.0,9602000000.0,,24.3218339139229,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Gasoline Stations,50,5010,501020,50102030,5010203012,1366200000.0,19.45759,3629200000.0,Canada,3629200000.0,1222200000.0,FY-2
AE.A,1022422000.0,24.1,2.17,2.47,,,102239044.4,4243716.0,296187000.0,444000.0,147095000.0,409.045226130653,15619000.0,149092000.0,164711000.0,15619000.0,,0.661716539255752,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Product Wholesale,50,5010,501020,50102030,5010203013,18573000.0,22.849442392144,-5747000.0,United States of America,-5747000.0,25208000.0,FY-2
ECR.MC,694671470.444553,2.63190034196385,,,,2.169,265746233.188812,100971237.0,720834147.532975,3920929.43166638,373722520.762091,80.6866205849449,160490962.383977,347111626.770884,507602589.154861,160490962.383977,-6.93,2.17144602271741,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,34619466.8800611,24.94374,21921819.4279921,Spain,21921819.4279921,12709062.0937914,FY-2
ALOD.PK,325800.0,0.32,,,,,1808963.52,5653011.0,2802102.0,,225858.0,,,2576244.0,2576244.0,0.0,,-0.521587573920233,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,53067.0,,-16733.0,United States of America,-16733.0,,FY-2
PTPh.V,,0.01170320667863,,,,,415814.717203456,35288809.0,4958.36606441477,448461.398718802,8186582.87509819,0.0,4466546.73998429,-8181624.50903378,-3715077.76904949,8069560.09426552,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,0.0,23.74702,-75004.704448485,Canada,-75004.704448485,,FY-2
AERN.PK,28720.0,0.0001,,,,,137293.3244,25537121.0,111977.0,,0.0,0.0,0.0,111977.0,111977.0,133370.0,,,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,,,11977.0,United States of America,11977.0,,FY-2
600795.SS,21519185538.6973,0.344827586206897,,,,4.926,6775999256.89655,18361079257.0,61393112094.9762,1359217298.63116,39865862874.2605,18.3486238531927,31788472743.3241,10381544609.0728,53315721964.0398,31788472741.7624,,6.67531059028082,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,2792228589.8417,32.81628,2941641023.07719,China,2941641023.07719,2172673652.58827,FY-2
IBE.MC,40479970688.8129,12.8724949499267,0.628488018489235,0.682982605522442,0.728500182459555,9.3,90737315217.3913,6831847496.3505,149631167562.286,1154020278.14111,90449438202.2472,0.0,49047386419.15,44763067904.2501,108229115779.189,49047386419.15,6.675,9.5841966659197,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,4527046907.12922,21.43281,6379643258.68513,Spain,6379643258.68513,6678706871.81368,FY-2
AIRP.PA,25018563751.832,149.054062957987,5.98449142787908,6.58588477615557,7.1611922214818,13.02,77652668573.5222,519349381.24938,51266609672.6917,467201285.700451,28056301905.2272,54.8889162662724,16476795310.2101,22645701025.8915,39687103077.6747,16476795310.2101,3.488,13.0175047510605,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,Commodity Chemicals (NEC),51,5110,511010,51101010,5110101010,2440336253.84558,25.40194,4325692627.14496,France,4325692627.14496,3002279065.84248,FY-2
LOU.V,80234092.6944226,0.105815958614203,,,,,19975038.5113904,188528453.0,395032992.930086,10090700.5845404,286863315.003928,,251830322.073841,102270227.808327,360000000.0,251830322.073841,,-38.2764039878844,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,49362172.5295523,23.74702,-2670848.25354975,Canada,-2670848.25354975,26273294.0134686,FY-2
0632.HK,95037859.7319505,0.03611831327477,,,,-7.676,30407266.8704771,841879000.0,69994453.2590328,538821.14599308,28955148.7945513,0.0,345445.867677979,40908375.5788605,41384750.3321595,345445.867677979,,3.01812049627929,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Product Wholesale,50,5010,501020,50102030,5010203013,651252.837619299,17.281305,2329863.15101578,Hong Kong,2329863.15101578,19469.2493527052,FY-2
DPAP.PA,19904201.2701514,449.996311505643,,,,,43716170.0048852,97800.0,73280296.7757694,,12377865.1685393,99.9337377420885,,60902431.6072301,60902431.6072301,0.0,,5.92732542511507,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,Oil & Gas Transportation Services (NEC),50,5010,501030,50103030,5010303010,721927.005986441,28.34194,4098460.21291169,France,4098460.21291169,2648667.16285061,FY-2
EDSP.PA,905354176.844162,144.113336590132,,,,28.58,1033204137.76257,7169386.0,2073683439.17929,643785.793146969,1641474108.45139,95.0015906848234,24389350.2686859,424979237.909135,456598680.99658,24389350.2686859,,9.94592260356656,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,35233574.6047296,33.185940371338,76446138.5436859,France,76446138.5436859,66590736.8805105,FY-2
ESSF.PA,12680508060.5765,15.7547630679043,,,,,202520830.727894,12854578.0,3294211040.54714,1255610.58947104,3087078651.68539,,40547142.1592574,207132388.861749,247679531.021006,40547142.1592575,,-134.993614303959,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing,Petroleum Refining,50,5010,501020,50102030,5010203011,123963009.105959,25.32436,-613651138.999664,France,-613651138.999664,,FY-2
HES.N,4667000000.0,52.79,-1.29508,0.18788,0.8671,-12.68,16210617212.96,306980092.0,18821000000.0,468000000.0,12486000000.0,,8534000000.0,5366000000.0,14869000000.0,8534000000.0,,-43.8785643353667,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production (NEC),50,5010,501020,50102020,5010202010,2074000000.0,22.0291,-393000000.0,United States of America,-393000000.0,2197000000.0,FY-2
ENGEPEC1.LM,422659574.468085,0.612589813760707,,0.078373731210827,,15.13,1568804332.68858,1747839131.64625,1267028184.58138,1549245.78355729,418155291.516994,134.163290309407,31567007.4606245,827492124.89638,880439900.525007,31567007.4606245,,15.1272794193794,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,52445178.2705991,29.35811,188408111.209602,Peru,188408111.209602,42948313.0763115,FY-2
LUSURC1.LM,871294280.187897,5.78844451644101,0.322292851566856,0.341808854689417,,11.01,3431130135.53467,486951371.0,2018131251.727,32019369.5403073,1066678640.50843,70.2678676642361,698259740.25974,951452611.218569,1649712351.47831,698259740.25974,,14.3474288192274,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010,38334379.535266,29.86401,223281610.879639,Peru,223281610.879639,140019963.040101,FY-2
GEPH.PA,886700000.0,0.989252564728872,-0.12424,-0.05571,-0.01,-28.019,703746031.106497,711367387.0,3377500000.0,136300000.0,2212900000.0,,1376700000.0,1119700000.0,2541300000.0,1376700000.0,,-30.7003803982994,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related - Surveying & Mapping Services,50,5010,501030,50103020,5010302013,326400000.0,9.69146041708,39300000.0,France,39300000.0,303100000.0,FY-2
